Symbol,Name,Tier,Sector,Price,Change %,Vol,Sec Type,Country,State
PTKFF,PT KALBE FARMA TBK,Pink Limited,health care,0.099100,,0,Foreign Ordinary Shares,Indonesia,
PYRGF,PYROGENESIS CDA INC ORD,OTCQX International,health care,0.362500,2.401100,9292,Foreign Ordinary Shares,Canada,Quebec
RHHBF,ROCHE HOLDING LTD ORD,OTCQX International Premier,health care,280.750000,0.267900,292,Foreign Ordinary Shares,Switzerland,
RLFTF,RELIEF THERAPEUTICS HLDG,OTCQB,health care,1.850000,-3.141400,4849,Foreign Ordinary Shares,Switzerland,
RVVTF,REVIVE THERAPEUTICS LTD,OTCQB,health care,0.019130,-14.407200,282072,Foreign Ordinary Shares,Canada,Ontario
SBMFF,SINO BIOPHARM ORD,Pink Current,health care,0.362400,,0,Foreign Ordinary Shares,Hong Kong,
SEOVF,SERNOVA CORP,OTCQB,health care,0.466100,-2.079800,2017,Foreign Ordinary Shares,Canada,Ontario
SGIOF,SHIONOGI & CO LTD,Pink Limited,health care,46.955600,,0,Foreign Ordinary Shares,Japan,
SHPMF,SHANGHAI PHARMS HL H ORD,Pink Current,health care,1.470000,,0,Foreign Ordinary Shares,China,
SLNCF,SILENCE THERAPEUTICS ORD,Pink Current,health care,3.550000,,0,Foreign Ordinary Shares,United Kingdom,
SNYNF,SANOFI ORD,Pink Current,health care,96.450000,-0.822600,3029,Foreign Ordinary Shares,France,
SOLCF,SOL GLOBAL INVTS CORP,Pink Current,health care,0.051900,-10.052000,63113,Foreign Ordinary Shares,Canada,Ontario
SSDOF,SHISEIDO CO LTD ORD,Pink Limited,health care,27.420000,,3,Foreign Ordinary Shares,Japan,
TEVJF,TEVA PHARM INDUS LTD ORD,Pink Current,health care,12.370000,-4.108500,379,Foreign Ordinary Shares,Israel,
TKPHF,TAKEDA PHARM CO LTD ORD,Pink Current,health care,28.630000,,0,Foreign Ordinary Shares,Japan,
UCBJF,UCB SA NPV,Pink Limited,health care,102.000000,,0,Foreign Ordinary Shares,Belgium,
WHTCF,WELL HEALTH TECH CORP ORD,OTCQX International,health care,2.846300,1.270200,16550,Foreign Ordinary Shares,Canada,British Columbia
XTXXF,ADASTRA HOLDINGS LTD,Pink Current,health care,0.140000,,0,Foreign Ordinary Shares,Canada,British Columbia
ZAILF,ZAI LAB LTD,Pink Current,health care,0.000000,,0,Foreign Ordinary Shares,China,
